Category1,Source1,Category2,Source2,Similarity,PapersInC1,PapersInC2,PapersInBoth,Agreement
image quality,OpenAIRE,image quality,OpenAlex,1.0,556,532,314,0.4056847545219638
computer vision,OpenAIRE,computer vision,OpenAlex,1.0,6740,11493,5767,0.4626183218353922
discrete cosine transform,OpenAIRE,discrete cosine transform,OpenAlex,1.0,149,177,107,0.4885844748858447
phylogenetic tree,OpenAIRE,phylogenetic tree,OpenAlex,1.0,308,477,273,0.533203125
mega-,OpenAIRE,mega-,OpenAlex,1.0,7,7,5,0.5555555555555556
inference,OpenAIRE,inference,OpenAlex,1.0,1678,3251,1488,0.4324324324324324
oligopoly,OpenAIRE,oligopoly,OpenAlex,1.0,13,12,9,0.5625
pooling,OpenAIRE,pooling,OpenAlex,1.0,239,503,229,0.4463937621832358
covariate,OpenAIRE,covariate,OpenAlex,1.0,176,237,146,0.5468164794007491
clinical trial,OpenAIRE,clinical trial,OpenAlex,1.0,206,186,114,0.4100719424460431
harmony search,OpenAIRE,harmony search,OpenAlex,1.0,20,26,19,0.7037037037037037
distancing,OpenAIRE,distancing,OpenAlex,1.0,14,15,12,0.7058823529411765
psychopathology,OpenAIRE,psychopathology,OpenAlex,1.0,131,154,96,0.5079365079365079
image segmentation,OpenAIRE,image segmentation,OpenAlex,1.0,1377,1328,778,0.4037363777893098
false discovery rate,OpenAIRE,false discovery rate,OpenAlex,1.0,77,84,56,0.5333333333333333
squid,OpenAIRE,squid,OpenAlex,1.0,17,18,13,0.5909090909090909
cluster analysis,OpenAIRE,cluster analysis,OpenAlex,1.0,2141,2203,1551,0.5553168635875403
particle swarm optimization,OpenAIRE,particle swarm optimization,OpenAlex,1.0,407,544,377,0.6567944250871081
metaheuristic,OpenAIRE,metaheuristic,OpenAlex,1.0,308,291,196,0.4863523573200992
nonlinear system,OpenAIRE,nonlinear system,OpenAlex,1.0,2295,4160,1847,0.4008246527777778
swarm intelligence,OpenAIRE,swarm intelligence,OpenAlex,1.0,154,107,76,0.4108108108108108
swarm behaviour,OpenAIRE,swarm behaviour,OpenAlex,1.0,131,200,100,0.4329004329004329
categorical variable,OpenAIRE,categorical variable,OpenAlex,1.0,212,297,175,0.5239520958083832
transfer rna,OpenAIRE,transfer rna,OpenAlex,1.0,14,10,7,0.4117647058823529
absorptive capacity,OpenAIRE,absorptive capacity,OpenAlex,1.0,37,32,26,0.6046511627906976
support vector machine,OpenAIRE,support vector machine,OpenAlex,1.0,1840,2411,1471,0.529136690647482
popularity,OpenAIRE,popularity,OpenAlex,1.0,180,299,155,0.4783950617283951
situated,OpenAIRE,situated,OpenAlex,1.0,348,655,336,0.5037481259370314
sociocultural evolution,OpenAIRE,sociocultural evolution,OpenAlex,1.0,102,125,67,0.41875
helpfulness,OpenAIRE,helpfulness,OpenAlex,1.0,15,17,14,0.7777777777777778
lisrel,OpenAIRE,lisrel,OpenAlex,1.0,37,39,28,0.5833333333333334
resampling,OpenAIRE,resampling,OpenAlex,1.0,127,154,92,0.4867724867724867
deriche edge detector,OpenAIRE,deriche edge detector,OpenAlex,1.0,15,19,12,0.5454545454545454
cauchy problem,OpenAIRE,cauchy problem,OpenAlex,1.0,18,16,10,0.4166666666666667
natural language processing,OpenAIRE,natural language processing,OpenAlex,1.0,2404,4233,1979,0.4248604551309575
locus (genetics),OpenAIRE,locus (genetics),OpenAlex,1.0,78,98,51,0.408
population,OpenAIRE,population,OpenAlex,1.0,2348,3883,1796,0.4049605411499436
covariance,OpenAIRE,covariance,OpenAlex,1.0,349,466,253,0.4501779359430605
covariance matrix,OpenAIRE,covariance matrix,OpenAlex,1.0,275,248,150,0.4021447721179624
kalman filter,OpenAIRE,kalman filter,OpenAlex,1.0,505,760,419,0.4952718676122931
extended kalman filter,OpenAIRE,extended kalman filter,OpenAlex,1.0,250,339,195,0.4949238578680203
hybrid cryptosystem,OpenAIRE,hybrid cryptosystem,OpenAlex,1.0,6,7,4,0.4444444444444444
unix,OpenAIRE,unix,OpenAlex,1.0,27,34,19,0.4523809523809524
credit card fraud,OpenAIRE,credit card fraud,OpenAlex,1.0,19,20,18,0.8571428571428571
reuse,OpenAIRE,reuse,OpenAlex,1.0,79,138,64,0.4183006535947712
antimicrobial,OpenAIRE,antimicrobial,OpenAlex,1.0,22,19,15,0.5769230769230769
pixel,OpenAIRE,pixel,OpenAlex,1.0,1240,1592,935,0.4928835002635741
softmax function,OpenAIRE,softmax function,OpenAlex,1.0,61,76,53,0.6309523809523809
overfitting,OpenAIRE,overfitting,OpenAlex,1.0,265,302,220,0.6340057636887608
regression testing,OpenAIRE,regression testing,OpenAlex,1.0,20,21,12,0.4137931034482758
test management approach,OpenAIRE,test management approach,OpenAlex,1.0,15,8,7,0.4375
ransac,OpenAIRE,ransac,OpenAlex,1.0,44,47,36,0.6545454545454545
smoothing,OpenAIRE,smoothing,OpenAlex,1.0,378,464,310,0.5827067669172933
landmark,OpenAIRE,landmark,OpenAlex,1.0,102,184,96,0.5052631578947369
hidden markov model,OpenAIRE,hidden markov model,OpenAlex,1.0,542,519,352,0.4964739069111424
ergodic theory,OpenAIRE,ergodic theory,OpenAlex,1.0,49,70,36,0.4337349397590361
probabilistic logic,OpenAIRE,probabilistic logic,OpenAlex,1.0,1337,2368,1173,0.4632701421800947
heuristics,OpenAIRE,heuristics,OpenAlex,1.0,462,562,350,0.5192878338278932
representativeness heuristic,OpenAIRE,representativeness heuristic,OpenAlex,1.0,32,51,25,0.4310344827586206
compressed sensing,OpenAIRE,compressed sensing,OpenAlex,1.0,228,255,176,0.5732899022801303
orthonormal basis,OpenAIRE,orthonormal basis,OpenAlex,1.0,59,69,45,0.5421686746987951
histogram,OpenAIRE,histogram,OpenAlex,1.0,493,552,347,0.497134670487106
pedestrian detection,OpenAIRE,pedestrian detection,OpenAlex,1.0,58,62,47,0.6438356164383562
superior colliculus,OpenAIRE,superior colliculus,OpenAlex,1.0,28,23,21,0.7
markov chain monte carlo,OpenAIRE,markov chain monte carlo,OpenAlex,1.0,296,381,231,0.5179372197309418
executable,OpenAIRE,executable,OpenAlex,1.0,41,54,37,0.6379310344827587
ethernet,OpenAIRE,ethernet,OpenAlex,1.0,6,8,6,0.75
integrated pest management,OpenAIRE,integrated pest management,OpenAlex,1.0,16,15,10,0.4761904761904761
spambot,OpenAIRE,spambot,OpenAlex,1.0,11,15,9,0.5294117647058824
colocalization,OpenAIRE,colocalization,OpenAlex,1.0,7,11,7,0.6363636363636364
rheumatoid arthritis,OpenAIRE,rheumatoid arthritis,OpenAlex,1.0,8,9,5,0.4166666666666667
wavelet,OpenAIRE,wavelet,OpenAlex,1.0,953,1290,829,0.5862800565770863
wavelet transform,OpenAIRE,wavelet transform,OpenAlex,1.0,623,833,456,0.456
scalability,OpenAIRE,scalability,OpenAlex,1.0,402,688,313,0.4028314028314028
boosting (machine learning),OpenAIRE,boosting (machine learning),OpenAlex,1.0,230,291,181,0.5323529411764706
sketch,OpenAIRE,sketch,OpenAlex,1.0,98,154,87,0.5272727272727272
cache,OpenAIRE,cache,OpenAlex,1.0,35,51,27,0.4576271186440678
receiver operating characteristic,OpenAIRE,receiver operating characteristic,OpenAlex,1.0,261,268,190,0.56047197640118
nonparametric statistics,OpenAIRE,nonparametric statistics,OpenAlex,1.0,256,360,191,0.4494117647058823
wilcoxon signed-rank test,OpenAIRE,wilcoxon signed-rank test,OpenAlex,1.0,27,37,20,0.4545454545454545
weed control,OpenAIRE,weed control,OpenAlex,1.0,20,15,11,0.4583333333333333
reinforcement,OpenAIRE,reinforcement,OpenAlex,1.0,200,247,135,0.4326923076923077
panchromatic film,OpenAIRE,panchromatic film,OpenAlex,1.0,40,48,39,0.7959183673469388
oversampling,OpenAIRE,oversampling,OpenAlex,1.0,40,61,34,0.5074626865671642
classifier (uml),OpenAIRE,classifier (uml),OpenAlex,1.0,944,1670,824,0.4603351955307262
naive bayes classifier,OpenAIRE,naive bayes classifier,OpenAlex,1.0,252,295,172,0.4586666666666666
convex hull,OpenAIRE,convex hull,OpenAlex,1.0,49,42,30,0.4918032786885246
minimum bounding box,OpenAIRE,minimum bounding box,OpenAlex,1.0,73,116,60,0.4651162790697674
cynicism,OpenAIRE,cynicism,OpenAlex,1.0,9,9,6,0.5
cogging torque,OpenAIRE,cogging torque,OpenAlex,1.0,15,16,15,0.9375
fuzzy logic,OpenAIRE,fuzzy logic,OpenAlex,1.0,1673,2579,1511,0.5512586647209048
subspace topology,OpenAIRE,subspace topology,OpenAlex,1.0,300,432,263,0.5607675906183369
fuzzy set operations,OpenAIRE,fuzzy set operations,OpenAlex,1.0,652,383,301,0.4100817438692098
durability,OpenAIRE,durability,OpenAlex,1.0,20,12,10,0.4545454545454545
maximum a posteriori estimation,OpenAIRE,maximum a posteriori estimation,OpenAlex,1.0,104,101,68,0.4963503649635036
markov random field,OpenAIRE,markov random field,OpenAlex,1.0,103,149,85,0.5089820359281437
gibbs sampling,OpenAIRE,gibbs sampling,OpenAlex,1.0,136,133,79,0.4157894736842105
holism,OpenAIRE,holism,OpenAlex,1.0,13,11,8,0.5
casp,OpenAIRE,casp,OpenAlex,1.0,15,18,11,0.5
threading (protein sequence),OpenAIRE,threading (protein sequence),OpenAlex,1.0,29,25,18,0.5
epoxy,OpenAIRE,epoxy,OpenAlex,1.0,6,7,5,0.625
transfer of learning,OpenAIRE,transfer of learning,OpenAlex,1.0,302,378,197,0.4078674948240166
robot,OpenAIRE,robot,OpenAlex,1.0,1495,3011,1372,0.4377791959157626
relaxation oscillator,OpenAIRE,relaxation oscillator,OpenAlex,1.0,7,9,5,0.4545454545454545
complex network,OpenAIRE,complex network,OpenAlex,1.0,346,462,234,0.4076655052264808
molecular communication,OpenAIRE,molecular communication,OpenAlex,1.0,7,8,5,0.5
autoencoder,OpenAIRE,autoencoder,OpenAlex,1.0,157,223,129,0.5139442231075697
curse of dimensionality,OpenAIRE,curse of dimensionality,OpenAlex,1.0,342,634,283,0.4083694083694084
initialization,OpenAIRE,initialization,OpenAlex,1.0,175,234,151,0.5852713178294574
principal component analysis,OpenAIRE,principal component analysis,OpenAlex,1.0,981,919,678,0.5548281505728314
belongingness,OpenAIRE,belongingness,OpenAlex,1.0,11,8,6,0.4615384615384615
interpersonal communication,OpenAIRE,interpersonal communication,OpenAlex,1.0,256,345,180,0.4275534441805225
categorization,OpenAIRE,categorization,OpenAlex,1.0,887,1189,690,0.4978354978354978
content-addressable memory,OpenAIRE,content-addressable memory,OpenAlex,1.0,108,140,83,0.503030303030303
estimator,OpenAIRE,estimator,OpenAlex,1.0,745,1398,657,0.4421265141318977
generalized estimating equation,OpenAIRE,generalized estimating equation,OpenAlex,1.0,13,11,8,0.5
spotting,OpenAIRE,spotting,OpenAlex,1.0,25,45,23,0.4893617021276595
feed forward,OpenAIRE,feed forward,OpenAlex,1.0,318,325,209,0.4815668202764977
pseudo-riemannian manifold,OpenAIRE,pseudo-riemannian manifold,OpenAlex,1.0,9,6,6,0.6666666666666666
active contour model,OpenAIRE,active contour model,OpenAlex,1.0,93,65,52,0.490566037735849
machine translation,OpenAIRE,machine translation,OpenAlex,1.0,177,257,146,0.5069444444444444
logistic regression,OpenAIRE,logistic regression,OpenAlex,1.0,260,379,200,0.4555808656036446
random forest,OpenAIRE,random forest,OpenAlex,1.0,476,577,380,0.5646359583952452
iterative closest point,OpenAIRE,iterative closest point,OpenAlex,1.0,23,31,18,0.5
image registration,OpenAIRE,image registration,OpenAlex,1.0,244,205,148,0.4916943521594684
point cloud,OpenAIRE,point cloud,OpenAlex,1.0,164,219,147,0.6228813559322034
search engine indexing,OpenAIRE,search engine indexing,OpenAlex,1.0,231,281,164,0.4712643678160919
graduate medical education,OpenAIRE,graduate medical education,OpenAlex,1.0,6,7,5,0.625
mascot,OpenAIRE,mascot,OpenAlex,1.0,6,8,5,0.5555555555555556
kin selection,OpenAIRE,kin selection,OpenAlex,1.0,91,113,72,0.5454545454545454
replica,OpenAIRE,replica,OpenAlex,1.0,21,29,16,0.4705882352941176
operationalization,OpenAIRE,operationalization,OpenAlex,1.0,212,271,187,0.6317567567567568
discriminative model,OpenAIRE,discriminative model,OpenAlex,1.0,553,710,500,0.6553079947575361
deep belief network,OpenAIRE,deep belief network,OpenAlex,1.0,112,91,67,0.4926470588235294
dimensionality reduction,OpenAIRE,dimensionality reduction,OpenAlex,1.0,406,466,267,0.4413223140495868
maxima and minima,OpenAIRE,maxima and minima,OpenAlex,1.0,169,229,134,0.5075757575757576
embedding,OpenAIRE,embedding,OpenAlex,1.0,450,798,378,0.4344827586206896
isomap,OpenAIRE,isomap,OpenAlex,1.0,21,25,16,0.5333333333333333
diffusion map,OpenAIRE,diffusion map,OpenAlex,1.0,19,21,14,0.5384615384615384
stylus,OpenAIRE,stylus,OpenAlex,1.0,16,17,13,0.65
microscope,OpenAIRE,microscope,OpenAlex,1.0,139,187,99,0.4361233480176211
scanning tunneling microscope,OpenAIRE,scanning tunneling microscope,OpenAlex,1.0,29,35,23,0.5609756097560976
conductive atomic force microscopy,OpenAIRE,conductive atomic force microscopy,OpenAlex,1.0,27,36,20,0.4651162790697674
non-contact atomic force microscopy,OpenAIRE,non-contact atomic force microscopy,OpenAlex,1.0,22,26,18,0.6
reinforcement learning,OpenAIRE,reinforcement learning,OpenAlex,1.0,523,737,442,0.5403422982885085
beacon,OpenAIRE,beacon,OpenAlex,1.0,13,18,12,0.631578947368421
dynamic pricing,OpenAIRE,dynamic pricing,OpenAlex,1.0,11,20,10,0.4761904761904761
exome,OpenAIRE,exome,OpenAlex,1.0,7,7,5,0.5555555555555556
conditional random field,OpenAIRE,conditional random field,OpenAlex,1.0,118,144,95,0.5688622754491018
upsampling,OpenAIRE,upsampling,OpenAlex,1.0,40,59,36,0.5714285714285714
crfs,OpenAIRE,crfs,OpenAlex,1.0,22,40,19,0.4418604651162791
logos bible software,OpenAIRE,logos bible software,OpenAlex,1.0,6,5,4,0.5714285714285714
decision tree,OpenAIRE,decision tree,OpenAlex,1.0,535,542,324,0.4302788844621514
centrality,OpenAIRE,centrality,OpenAlex,1.0,123,149,90,0.4945054945054945
interpretability,OpenAIRE,interpretability,OpenAlex,1.0,216,279,182,0.5814696485623003
silhouette,OpenAIRE,silhouette,OpenAlex,1.0,55,63,46,0.6388888888888888
eigenface,OpenAIRE,eigenface,OpenAlex,1.0,41,29,25,0.5555555555555556
facial recognition system,OpenAIRE,facial recognition system,OpenAlex,1.0,647,647,444,0.5223529411764706
wordnet,OpenAIRE,wordnet,OpenAlex,1.0,71,115,60,0.4761904761904761
lexicographical order,OpenAIRE,lexicographical order,OpenAlex,1.0,13,17,9,0.4285714285714285
noun,OpenAIRE,noun,OpenAlex,1.0,176,305,154,0.4709480122324159
dilemma,OpenAIRE,dilemma,OpenAlex,1.0,93,127,77,0.5384615384615384
biological applications of bifurcation theory,OpenAIRE,biological applications of bifurcation theory,OpenAlex,1.0,15,15,9,0.4285714285714285
univariate,OpenAIRE,univariate,OpenAlex,1.0,169,219,145,0.5967078189300411
scrolling,OpenAIRE,scrolling,OpenAlex,1.0,10,12,8,0.5714285714285714
cointegration,OpenAIRE,cointegration,OpenAlex,1.0,31,38,24,0.5333333333333333
multidimensional scaling,OpenAIRE,multidimensional scaling,OpenAlex,1.0,102,114,64,0.4210526315789473
receptive field,OpenAIRE,receptive field,OpenAlex,1.0,171,186,137,0.6227272727272727
visual cortex,OpenAIRE,visual cortex,OpenAlex,1.0,612,543,382,0.4941785252263906
scholarship,OpenAIRE,scholarship,OpenAlex,1.0,97,143,80,0.5
affordance,OpenAIRE,affordance,OpenAlex,1.0,97,130,80,0.54421768707483
adaboost,OpenAIRE,adaboost,OpenAlex,1.0,118,105,86,0.6277372262773723
natural selection,OpenAIRE,natural selection,OpenAlex,1.0,980,1258,785,0.5402615278733655
monte carlo tree search,OpenAIRE,monte carlo tree search,OpenAlex,1.0,8,6,6,0.75
champion,OpenAIRE,champion,OpenAlex,1.0,8,15,8,0.5333333333333333
monte carlo method,OpenAIRE,monte carlo method,OpenAlex,1.0,700,648,401,0.423442449841605
wisconsin card sorting test,OpenAIRE,wisconsin card sorting test,OpenAlex,1.0,6,6,5,0.7142857142857143
confirmatory factor analysis,OpenAIRE,confirmatory factor analysis,OpenAlex,1.0,100,139,76,0.4662576687116564
opls,OpenAIRE,opls,OpenAlex,1.0,6,6,4,0.5
non-negative matrix factorization,OpenAIRE,non-negative matrix factorization,OpenAlex,1.0,95,96,80,0.7207207207207207
factorization,OpenAIRE,factorization,OpenAlex,1.0,69,99,49,0.4117647058823529
service-dominant logic,OpenAIRE,service-dominant logic,OpenAlex,1.0,14,14,9,0.4736842105263157
-opt,OpenAIRE,-opt,OpenAlex,1.0,14,15,10,0.5263157894736842
imitation,OpenAIRE,imitation,OpenAlex,1.0,113,151,89,0.5085714285714286
transaction cost,OpenAIRE,transaction cost,OpenAlex,1.0,68,95,53,0.4818181818181818
knowledge sharing,OpenAIRE,knowledge sharing,OpenAlex,1.0,63,65,45,0.5421686746987951
neuroimaging,OpenAIRE,neuroimaging,OpenAlex,1.0,511,538,306,0.4118438761776581
functional magnetic resonance imaging,OpenAIRE,functional magnetic resonance imaging,OpenAlex,1.0,536,743,453,0.5484261501210653
beamforming,OpenAIRE,beamforming,OpenAlex,1.0,84,146,71,0.4465408805031446
distance sampling,OpenAIRE,distance sampling,OpenAlex,1.0,7,6,6,0.8571428571428571
perl,OpenAIRE,perl,OpenAlex,1.0,15,20,12,0.5217391304347826
contig,OpenAIRE,contig,OpenAlex,1.0,9,11,8,0.6666666666666666
singular value decomposition,OpenAIRE,singular value decomposition,OpenAlex,1.0,156,189,111,0.4743589743589743
cascade,OpenAIRE,cascade,OpenAlex,1.0,79,158,71,0.4277108433734939
coalescent theory,OpenAIRE,coalescent theory,OpenAlex,1.0,77,88,66,0.6666666666666666
planar,OpenAIRE,planar,OpenAlex,1.0,96,194,84,0.4077669902912621
sigmoid function,OpenAIRE,sigmoid function,OpenAlex,1.0,84,110,68,0.5396825396825397
hypercube,OpenAIRE,hypercube,OpenAlex,1.0,21,21,15,0.5555555555555556
affine transformation,OpenAIRE,affine transformation,OpenAlex,1.0,172,232,147,0.5719844357976653
correctness,OpenAIRE,correctness,OpenAlex,1.0,113,195,97,0.4597156398104265
epidemic model,OpenAIRE,epidemic model,OpenAlex,1.0,31,51,24,0.4137931034482758
network topology,OpenAIRE,network topology,OpenAlex,1.0,305,321,180,0.4035874439461883
crossover,OpenAIRE,crossover,OpenAlex,1.0,243,422,229,0.5252293577981652
genetic algorithm,OpenAIRE,genetic algorithm,OpenAlex,1.0,831,847,540,0.4745166959578207
integer programming,OpenAIRE,integer programming,OpenAlex,1.0,192,201,122,0.4501845018450184
model predictive control,OpenAIRE,model predictive control,OpenAlex,1.0,392,358,305,0.6853932584269663
outlier,OpenAIRE,outlier,OpenAlex,1.0,375,548,335,0.5697278911564626
decision boundary,OpenAIRE,decision boundary,OpenAlex,1.0,50,38,26,0.4193548387096774
monocular,OpenAIRE,monocular,OpenAlex,1.0,115,169,100,0.5434782608695652
controllability,OpenAIRE,controllability,OpenAlex,1.0,223,198,163,0.6317829457364341
control reconfiguration,OpenAIRE,control reconfiguration,OpenAlex,1.0,89,78,54,0.4778761061946903
genbank,OpenAIRE,genbank,OpenAlex,1.0,12,15,10,0.5882352941176471
password,OpenAIRE,password,OpenAlex,1.0,33,39,24,0.5
big data,OpenAIRE,big data,OpenAlex,1.0,487,473,308,0.4723926380368098
mutual information,OpenAIRE,mutual information,OpenAlex,1.0,221,219,137,0.4521452145214521
independent component analysis,OpenAIRE,independent component analysis,OpenAlex,1.0,234,222,180,0.6521739130434783
prefrontal cortex,OpenAIRE,prefrontal cortex,OpenAlex,1.0,377,371,260,0.5327868852459017
adverbial,OpenAIRE,adverbial,OpenAlex,1.0,6,7,4,0.4444444444444444
portfolio,OpenAIRE,portfolio,OpenAlex,1.0,159,220,140,0.5857740585774058
stressor,OpenAIRE,stressor,OpenAlex,1.0,66,87,55,0.5612244897959183
conceptualization,OpenAIRE,conceptualization,OpenAlex,1.0,1202,1671,1143,0.6606936416184971
coping (psychology),OpenAIRE,coping (psychology),OpenAlex,1.0,129,123,78,0.4482758620689655
frequentist inference,OpenAIRE,frequentist inference,OpenAlex,1.0,156,157,92,0.416289592760181
deconvolution,OpenAIRE,deconvolution,OpenAlex,1.0,164,172,134,0.6633663366336634
rough set,OpenAIRE,rough set,OpenAlex,1.0,176,197,150,0.672645739910314
gesture,OpenAIRE,gesture,OpenAlex,1.0,374,449,321,0.6394422310756972
facial expression,OpenAIRE,facial expression,OpenAlex,1.0,355,275,220,0.5365853658536586
hippocampal formation,OpenAIRE,hippocampal formation,OpenAlex,1.0,105,156,91,0.5352941176470588
vagueness,OpenAIRE,vagueness,OpenAlex,1.0,70,137,61,0.4178082191780822
comparability,OpenAIRE,comparability,OpenAlex,1.0,41,69,33,0.4285714285714285
incineration,OpenAIRE,incineration,OpenAlex,1.0,7,6,6,0.8571428571428571
allometry,OpenAIRE,allometry,OpenAlex,1.0,42,31,30,0.6976744186046512
supercooling,OpenAIRE,supercooling,OpenAlex,1.0,13,18,12,0.631578947368421
mesoscopic physics,OpenAIRE,mesoscopic physics,OpenAlex,1.0,28,33,24,0.6486486486486487
glass transition,OpenAIRE,glass transition,OpenAlex,1.0,20,18,13,0.52
string searching algorithm,OpenAIRE,string searching algorithm,OpenAlex,1.0,38,52,29,0.4754098360655737
commentz-walter algorithm,OpenAIRE,commentz-walter algorithm,OpenAlex,1.0,10,7,5,0.4166666666666667
string metric,OpenAIRE,string metric,OpenAlex,1.0,18,14,10,0.4545454545454545
handover,OpenAIRE,handover,OpenAlex,1.0,10,9,8,0.7272727272727273
admission control,OpenAIRE,admission control,OpenAlex,1.0,7,6,4,0.4444444444444444
partial least squares regression,OpenAIRE,partial least squares regression,OpenAlex,1.0,144,153,112,0.6054054054054054
modular design,OpenAIRE,modular design,OpenAlex,1.0,220,347,190,0.5039787798408488
diabetic retinopathy,OpenAIRE,diabetic retinopathy,OpenAlex,1.0,91,75,69,0.711340206185567
macular edema,OpenAIRE,macular edema,OpenAlex,1.0,7,7,7,1.0
delphi method,OpenAIRE,delphi method,OpenAlex,1.0,234,340,229,0.663768115942029
participatory sensing,OpenAIRE,participatory sensing,OpenAlex,1.0,9,9,7,0.6363636363636364
econophysics,OpenAIRE,econophysics,OpenAlex,1.0,11,6,6,0.5454545454545454
stereology,OpenAIRE,stereology,OpenAlex,1.0,6,7,5,0.625
treebank,OpenAIRE,treebank,OpenAlex,1.0,36,49,25,0.4166666666666667
parsing,OpenAIRE,parsing,OpenAlex,1.0,314,449,264,0.5290581162324649
kegg,OpenAIRE,kegg,OpenAlex,1.0,10,8,7,0.6363636363636364
vocabulary,OpenAIRE,vocabulary,OpenAlex,1.0,473,380,248,0.4099173553719008
metagenomics,OpenAIRE,metagenomics,OpenAlex,1.0,72,58,45,0.5294117647058824
shotgun sequencing,OpenAIRE,shotgun sequencing,OpenAlex,1.0,10,10,6,0.4285714285714285
workflow,OpenAIRE,workflow,OpenAlex,1.0,154,194,129,0.589041095890411
sociotechnical system,OpenAIRE,sociotechnical system,OpenAlex,1.0,39,45,32,0.6153846153846154
mobilities,OpenAIRE,mobilities,OpenAlex,1.0,11,17,11,0.6470588235294118
hessian matrix,OpenAIRE,hessian matrix,OpenAlex,1.0,50,66,48,0.7058823529411765
organism,OpenAIRE,organism,OpenAlex,1.0,94,137,70,0.4347826086956521
semigroup,OpenAIRE,semigroup,OpenAlex,1.0,21,20,14,0.5185185185185185
energy storage,OpenAIRE,energy storage,OpenAlex,1.0,114,128,77,0.4666666666666667
electric power system,OpenAIRE,electric power system,OpenAlex,1.0,689,1031,541,0.458863443596268
greenhouse gas,OpenAIRE,greenhouse gas,OpenAlex,1.0,49,63,37,0.4933333333333333
adaptive histogram equalization,OpenAIRE,adaptive histogram equalization,OpenAlex,1.0,55,53,44,0.6875
very-large-scale integration,OpenAIRE,very-large-scale integration,OpenAlex,1.0,61,60,37,0.4404761904761904
foraging,OpenAIRE,foraging,OpenAlex,1.0,148,161,112,0.5685279187817259
optimal foraging theory,OpenAIRE,optimal foraging theory,OpenAlex,1.0,28,41,22,0.4680851063829787
fast marching method,OpenAIRE,fast marching method,OpenAlex,1.0,19,18,13,0.5416666666666666
eikonal equation,OpenAIRE,eikonal equation,OpenAlex,1.0,7,9,6,0.6
level set method,OpenAIRE,level set method,OpenAlex,1.0,70,69,52,0.5977011494252874
conservation law,OpenAIRE,conservation law,OpenAlex,1.0,37,31,25,0.5813953488372093
monotonic function,OpenAIRE,monotonic function,OpenAlex,1.0,121,158,84,0.4307692307692308
curvature,OpenAIRE,curvature,OpenAlex,1.0,152,236,122,0.4586466165413533
sliding mode control,OpenAIRE,sliding mode control,OpenAlex,1.0,232,211,161,0.5709219858156028
anomaly detection,OpenAIRE,anomaly detection,OpenAlex,1.0,298,321,235,0.6119791666666666
attachment theory,OpenAIRE,attachment theory,OpenAlex,1.0,40,56,33,0.5238095238095238
