Title;OpenAlexConcepts
Measurement of lower extremity kinematics during level walking;['Kinematics', 'Gait', 'Euler angles', 'Motion capture', 'Gait analysis', 'Ankle', 'Motion analysis', 'Computer science', 'Pelvis', 'Rotation (mathematics)', 'Joint (building)', 'Motion (physics)', 'Sensitivity (control systems)', 'Simulation', 'Computer vision', 'Artificial intelligence', 'Mathematics', 'Physical medicine and rehabilitation', 'Geometry', 'Physics', 'Engineering', 'Medicine', 'Anatomy', 'Structural engineering', 'Electronic engineering', 'Classical mechanics']
The symbol grounding problem;['Symbol (formal)', 'Categorical variable', 'Object (grammar)', 'Event (particle physics)', 'Basis (linear algebra)', 'Invariant (physics)', 'The Symbolic', 'Computer science', 'Artificial intelligence', 'Mathematics', 'Arithmetic', 'Communication', 'Linguistics', 'Natural language processing', 'Psychology', 'Philosophy', 'Machine learning', 'Psychoanalysis', 'Mathematical physics', 'Physics', 'Geometry', 'Quantum mechanics']
A logic of authentication;['Computer science', 'Authentication protocol', 'Authentication (law)', 'Trustworthiness', 'Computer security', 'Variety (cybernetics)', 'Function (biology)', 'Challenge–response authentication', 'Protocol (science)', 'Message authentication code', 'Cryptography', 'Artificial intelligence', 'Medicine', 'Alternative medicine', 'Pathology', 'Evolutionary biology', 'Biology']
Advanced mammalian gene transfer: high titre retroviral vectors with multiple drug selection markers and a complementary helper-free packaging cell line;['Biology', 'Library science', 'Selection (genetic algorithm)', 'Gene transfer', 'Genetics', 'Genealogy', 'Gene', 'History', 'Computer science', 'Artificial intelligence']
The strength of weak learnability;['Learnability', 'Class (philosophy)', 'Concept class', 'Probably approximately correct learning', 'Set (abstract data type)', 'Computer science', 'Function (biology)', 'Fraction (chemistry)', 'Algorithm', 'Mathematics', 'Artificial intelligence', 'Theoretical computer science', 'Active learning (machine learning)', 'Computational learning theory', 'Chemistry', 'Organic chemistry', 'Evolutionary biology', 'Biology', 'Programming language']
Finding structure in time;['Connectionism', 'Computer science', 'Set (abstract data type)', 'Task (project management)', 'Representation (politics)', 'Context (archaeology)', 'Artificial intelligence', 'Security token', 'Natural language processing', 'Semantic memory', 'Theoretical computer science', 'Cognition', 'Artificial neural network', 'Psychology', 'Paleontology', 'Computer security', 'Management', 'Neuroscience', 'Politics', 'Political science', 'Law', 'Economics', 'Biology', 'Programming language']
The computational complexity of probabilistic inference using bayesian belief networks;['Bayesian network', 'Inference', 'Probabilistic logic', 'Computer science', 'Artificial intelligence', 'Probabilistic logic network', 'Belief propagation', 'Machine learning', 'Bayesian inference', 'Approximate inference', 'Knowledge representation and reasoning', 'Theoretical computer science', 'Bayesian probability', 'Algorithm', 'Autoepistemic logic', 'Decoding methods', 'Multimodal logic', 'Description logic']
Multiquadrics—A scattered data approximation scheme with applications to computational fluid-dynamics—II solutions to parabolic, hyperbolic and elliptic partial differential equations;['Mathematics', 'Partial differential equation', 'Mathematical analysis', 'Hyperbolic partial differential equation', 'Elliptic partial differential equation', 'Norm (philosophy)', 'Interpolation (computer graphics)', 'Scheme (mathematics)', 'Applied mathematics', 'Motion (physics)', 'Artificial intelligence', 'Political science', 'Computer science', 'Law']
Neuromorphic electronic systems;['Neuromorphic engineering', 'Computer science', 'Component (thermodynamics)', 'Computation', 'Adaptation (eye)', 'Representation (politics)', 'Scale (ratio)', 'Analog computer', 'Artificial intelligence', 'Artificial neural network', 'Algorithm', 'Engineering', 'Electrical engineering', 'Physics', 'Quantum mechanics', 'Politics', 'Law', 'Political science', 'Optics', 'Thermodynamics']
The past explains the present;['Categorization', 'Selection (genetic algorithm)', 'Adaptation (eye)', 'Cognitive science', 'Consciousness', 'Cognitive psychology', 'Computer science', 'Psychology', 'Artificial intelligence', 'Neuroscience']
Nonmonotonic reasoning, preferential models and cumulative logics;['Non-monotonic logic', 'Probabilistic logic', 'Predicate (mathematical logic)', 'Monotonic function', 'Property (philosophy)', 'Mathematics', 'Extension (predicate logic)', 'Belief revision', 'Computer science', 'Theoretical computer science', 'Classical logic', 'Artificial intelligence', 'Discrete mathematics', 'Epistemology', 'Programming language', 'Mathematical analysis', 'Philosophy']
Preshaping Command Inputs to Reduce System Vibration;['Vibration', 'Input shaping', 'Residual', 'Control theory (sociology)', 'Reduction (mathematics)', 'Computer science', 'Manipulator (device)', 'Vibration control', 'Control engineering', 'Simulation', 'Engineering', 'Control (management)', 'Robot', 'Mathematics', 'Acoustics', 'Algorithm', 'Artificial intelligence', 'Physics', 'Geometry']
Methods for assessing the statistical significance of molecular sequence features by using general scoring schemes.;['Computational biology', 'Sequence (biology)', 'Similarity (geometry)', 'Biology', 'Variety (cybernetics)', 'Nucleic acid sequence', 'Computer science', 'Bioinformatics', 'Genetics', 'Pattern recognition (psychology)', 'Gene', 'Artificial intelligence', 'Image (mathematics)']
Finite element interpolation of nonsmooth functions satisfying boundary conditions;['Mathematics', 'Interpolation (computer graphics)', 'Piecewise', 'Projection (relational algebra)', 'Lagrange polynomial', 'Boundary (topology)', 'Sobolev space', 'Algorithm', 'Operator (biology)', 'Type (biology)', 'Applied mathematics', 'Polynomial', 'Mathematical analysis', 'Computer science', 'Artificial intelligence', 'Image (mathematics)', 'Ecology', 'Biochemistry', 'Chemistry', 'Repressor', 'Biology', 'Transcription factor', 'Gene']
Matrix pencil method for estimating parameters of exponentially damped/undamped sinusoids in noise;['Matrix pencil', 'Pencil (optics)', 'Exponential growth', 'Computation', 'Mathematics', 'Exponential function', 'Characteristic polynomial', 'Matrix (chemical analysis)', 'Applied mathematics', 'Algorithm', 'Singular value decomposition', 'Matrix exponential', 'Polynomial', 'Noise (video)', 'Mathematical analysis', 'Computer science', 'Physics', 'Artificial intelligence', 'Eigenvalues and eigenvectors', 'Materials science', 'Image (mathematics)', 'Quantum mechanics', 'Composite material', 'Differential equation']
;['Learnability', 'Concept class', 'Probably approximately correct learning', 'Class (philosophy)', 'Computer science', 'Algorithm', 'Set (abstract data type)', 'Function (biology)', 'Fraction (chemistry)', 'Mathematics', 'Artificial intelligence', 'Theoretical computer science', 'Active learning (machine learning)', 'Computational learning theory', 'Chemistry', 'Organic chemistry', 'Evolutionary biology', 'Biology', 'Programming language']
Computation at the edge of chaos: Phase transitions and emergent computation;['Edge of chaos', 'Computation', 'Cellular automaton', 'Phase transition', 'Computer science', 'Theoretical computer science', 'Enhanced Data Rates for GSM Evolution', 'Connection (principal bundle)', 'Statistical physics', 'Mathematics', 'Physics', 'Artificial intelligence', 'Algorithm', 'Geometry', 'Quantum mechanics']
Bayesian reconstructions from emission tomography data using a modified EM algorithm;['Expectation–maximization algorithm', 'Tomography', 'Smoothness', 'Algorithm', 'Bayesian probability', 'Iterative reconstruction', 'Maximum likelihood', 'Computer science', 'Emission computed tomography', 'Single-photon emission computed tomography', 'Artificial intelligence', 'Positron emission tomography', 'Mathematics', 'Physics', 'Nuclear medicine', 'Optics', 'Statistics', 'Medicine', 'Mathematical analysis']
Preprocessing and postprocessing for materials based on the homogenization method with adaptive finite element methods;['Homogenization (climate)', 'Finite element method', 'Preprocessor', 'Applied mathematics', 'Elasticity (physics)', 'Mixed finite element method', 'Linear elasticity', 'Computer science', 'Mathematics', 'Mathematical analysis', 'Algorithm', 'Mathematical optimization', 'Materials science', 'Structural engineering', 'Composite material', 'Engineering', 'Artificial intelligence', 'Biodiversity', 'Ecology', 'Biology']
What are we talking about when we talk about entrepreneurship?;['Entrepreneurship', 'Psychology', 'Delphi method', 'Set (abstract data type)', 'Delphi', 'Questionnaire', 'Public relations', 'Marketing', 'Social psychology', 'Sociology', 'Political science', 'Social science', 'Business', 'Computer science', 'Artificial intelligence', 'Law', 'Programming language', 'Operating system']
Elephants don't play chess;['Banner', 'Computer science', 'Constraint (computer-aided design)', 'Human–computer interaction', 'Artificial intelligence', 'Artificial general intelligence', 'Mechanical engineering', 'Archaeology', 'Engineering', 'History']
Structural Covariates of Homicide Rates: Are There Any Invariances Across Time and Social Space?;['Covariate', 'Collinearity', 'Econometrics', 'Homicide', 'Statistical inference', 'Regression analysis', 'Statistics', 'Regression', 'Variance (accounting)', 'Inference', 'Principal component analysis', 'Mathematics', 'Poison control', 'Computer science', 'Economics', 'Human factors and ergonomics', 'Medicine', 'Environmental health', 'Accounting', 'Artificial intelligence']
A cognitive perspective on medical expertise;['Perspective (graphical)', 'Cognition', 'Context (archaeology)', 'Psychology', 'Disease', 'Cognitive psychology', 'Association (psychology)', 'Medicine', 'Psychiatry', 'Psychotherapist', 'Computer science', 'Pathology', 'Artificial intelligence', 'Paleontology', 'Biology']
Skip lists: a probabilistic alternative to balanced trees;['Probabilistic logic', 'Computer science', 'Probabilistic analysis of algorithms', 'Algorithm', 'Theoretical computer science', 'Artificial intelligence']
<i>Tracking and Data Association</i>;['Association (psychology)', 'Data association', 'Tracking (education)', 'Computer science', 'Artificial intelligence', 'Psychology', 'Pedagogy', 'Probabilistic logic', 'Psychotherapist']
The chaotic motion of the solar system: A numerical estimate of the size of the chaotic zones;['Physics', 'Solar System', 'Libration (molecule)', 'Chaotic', 'Planet', 'Lyapunov exponent', 'Celestial mechanics', 'Amplitude', 'Pluto', 'Classical mechanics', 'Astrophysics', 'Astronomy', 'Geometry', 'Mathematics', 'Nonlinear system', 'Quantum mechanics', 'Computer science', 'Artificial intelligence', 'Point (geometry)']
Non-linear system identification using neural networks;['Artificial neural network', 'Computer science', 'Identification (biology)', 'Nonlinear system', 'Stochastic neural network', 'System identification', 'Time delay neural network', 'Nonlinear system identification', 'Algorithm', 'Artificial intelligence', 'Data mining', 'Botany', 'Biology', 'Measure (data warehouse)', 'Physics', 'Quantum mechanics']
Efficient ray tracing of volume data;['Computer science', 'Ray tracing (physics)', 'Voxel', 'Rendering (computer graphics)', 'Volume rendering', 'Computer graphics (images)', 'Opacity', 'ENCODE', 'Computer vision', 'Artificial intelligence', 'Graphics', 'Computer graphics', 'Algorithm', 'Biochemistry', 'Chemistry', 'Physics', 'Quantum mechanics', 'Optics', 'Gene']
Preattentive texture discrimination with early vision mechanisms;['Salience (neuroscience)', 'Artificial intelligence', 'Computer science', 'Texture (cosmology)', 'Pattern recognition (psychology)', 'Computer vision', 'Bidirectional texture function', 'Perception', 'Linear filter', 'Convolution (computer science)', 'Image texture', 'Image processing', 'Image (mathematics)', 'Artificial neural network', 'Psychology', 'Filter (signal processing)', 'Neuroscience']
Principles of Educational Outreach ('Academic Detailing') to Improve Clinical Decision Making;['Credibility', 'Medicine', 'Outreach', 'Variety (cybernetics)', 'Opinion leadership', 'Quality (philosophy)', 'Health care', 'Academic detailing', 'Medical education', 'Public relations', 'Nursing', 'Philosophy', 'Intervention (counseling)', 'Epistemology', 'Artificial intelligence', 'Political science', 'Computer science', 'Law', 'Economics', 'Economic growth']
Principles of Object Perception;['Perception', 'Representation (politics)', 'Object (grammar)', 'Construct (python library)', 'Motion (physics)', 'Psychology', 'Cognitive psychology', 'Visual perception', 'Communication', 'Cognitive science', 'Artificial intelligence', 'Computer science', 'Neuroscience', 'Politics', 'Political science', 'Law', 'Programming language']
Stochastic evolutionary game dynamics∗;['Attractor', 'Evolutionarily stable strategy', 'Evolutionary game theory', 'Stability (learning theory)', 'Set (abstract data type)', 'Evolutionary dynamics', 'Natural selection', 'Stochastic dynamics', 'Selection (genetic algorithm)', 'Dynamical systems theory', 'Computer science', 'Stochastic modelling', 'Dynamics (music)', 'Mathematical economics', 'Statistical physics', 'Game theory', 'Mathematics', 'Mathematical optimization', 'Artificial intelligence', 'Population', 'Physics', 'Statistics', 'Machine learning', 'Demography', 'Sociology', 'Acoustics', 'Mathematical analysis', 'Quantum mechanics', 'Programming language']
Anomalies: Foreign Exchange;['Variety (cybernetics)', 'Test (biology)', 'Perspective (graphical)', 'Null hypothesis', 'Economics', 'Foreign exchange', 'Efficient-market hypothesis', 'Statistical hypothesis testing', 'Positive economics', 'Econometrics', 'Computer science', 'Mathematics', 'Statistics', 'Monetary economics', 'Artificial intelligence', 'Paleontology', 'Horse', 'Stock market', 'Biology']
Knowledge and common knowledge in a distributed environment;['Computer science', 'Common knowledge (logic)', 'Distributed knowledge', 'Knowledge-based systems', 'Variety (cybernetics)', 'Body of knowledge', 'Procedural knowledge', 'Knowledge management', 'Distributed computing', 'Theoretical computer science', 'Epistemic modal logic', 'Artificial intelligence', 'Multimodal logic', 'Description logic']
Estimating fractal dimension;['Attractor', 'Fractal', 'Fractal dimension', 'Fractal dimension on networks', 'Multifractal system', 'Fractal landscape', 'Phase space', 'Correlation dimension', 'Dynamical systems theory', 'Dimension (graph theory)', 'Chaotic', 'Fractal analysis', 'Statistical physics', 'Degrees of freedom (physics and chemistry)', 'Variety (cybernetics)', 'Dynamical system (definition)', 'Minkowski–Bouligand dimension', 'Mathematics', 'Computer science', 'Mathematical analysis', 'Physics', 'Pure mathematics', 'Artificial intelligence', 'Statistics', 'Quantum mechanics', 'Thermodynamics']
Singularity Analysis of Generating Functions;['Mathematics', 'Singularity', 'Term (time)', 'Asymptotic expansion', 'Generating function', 'Taylor series', 'Cauchy distribution', 'Class (philosophy)', 'Function (biology)', 'Methods of contour integration', 'Asymptotic analysis', 'Applied mathematics', 'Pure mathematics', 'Mathematical analysis', 'Computer science', 'Physics', 'Quantum mechanics', 'Artificial intelligence', 'Evolutionary biology', 'Biology']
Initial results in Prony analysis of power system response signals;['Stability (learning theory)', 'Electric power system', 'Transient (computer programming)', 'Modal analysis', 'Modal', 'Signal processing', 'Fourier analysis', 'Computer science', 'Power (physics)', 'Control theory (sociology)', 'Engineering', 'Fourier transform', 'Algorithm', 'Mathematics', 'Electronic engineering', 'Artificial intelligence', 'Digital signal processing', 'Machine learning', 'Mathematical analysis', 'Physics', 'Control (management)', 'Structural engineering', 'Quantum mechanics', 'Chemistry', 'Finite element method', 'Polymer chemistry', 'Operating system']
The evolving philosophers problem: dynamic change management;['Computer science', 'Component (thermodynamics)', 'State (computer science)', 'Theoretical computer science', 'Artificial intelligence', 'Programming language', 'Thermodynamics', 'Physics']
Networks and the best approximation property;['Uniqueness', 'Mathematics', 'Property (philosophy)', 'Regularization (linguistics)', 'Approximation theory', 'Approximation property', 'Applied mathematics', 'Perceptron', 'Function approximation', 'Backpropagation', 'Artificial neural network', 'Mathematical analysis', 'Computer science', 'Artificial intelligence', 'Banach space', 'Philosophy', 'Epistemology']
Evolutionary explanations of emotions;['Evolutionary psychology', 'Sadness', 'Happiness', 'Psychology', 'Reciprocity (cultural anthropology)', 'Natural selection', 'Cognitive psychology', 'Cognition', 'Social psychology', 'Strong reciprocity', 'Selection (genetic algorithm)', 'Anger', 'Computer science', 'Game theory', 'Artificial intelligence', 'Repeated game', 'Neuroscience', 'Microeconomics', 'Economics']
Telos: representing knowledge about information systems;['Computer science', 'Telos', 'Knowledge representation and reasoning', 'Variety (cybernetics)', 'Information system', 'Premise', 'Sketch', 'Domain knowledge', 'Specification language', 'Artificial intelligence', 'Programming language', 'Natural language processing', 'Linguistics', 'Philosophy', 'Epistemology', 'Algorithm', 'Electrical engineering', 'Engineering']
;['Computer science', 'Formalism (music)', 'Artificial intelligence', 'Machine learning', 'Art', 'Musical', 'Visual arts']
Chaos game representation of gene structure;['Biology', 'Representation (politics)', 'Sequence (biology)', 'Chaotic', 'Set (abstract data type)', 'Computational biology', 'Gene', 'Genetics', 'DNA', 'Evolutionary biology', 'Artificial intelligence', 'Computer science', 'Politics', 'Political science', 'Law', 'Programming language']
A feature model of immediate memory;['Recall', 'Psychology', 'Feature (linguistics)', 'Modality (human–computer interaction)', 'Similarity (geometry)', 'Modality effect', 'Cognitive psychology', 'Free recall', 'Natural language processing', 'Pattern recognition (psychology)', 'Artificial intelligence', 'Cognition', 'Short-term memory', 'Communication', 'Computer science', 'Linguistics', 'Working memory', 'Neuroscience', 'Philosophy', 'Image (mathematics)']
Comparative study of Hough Transform methods for circle finding;['Hough transform', 'Artificial intelligence', 'Computer vision', 'Scale-invariant feature transform', 'Computer science', 'Reliability (semiconductor)', 'Space (punctuation)', 'Image (mathematics)', 'Pattern recognition (psychology)', 'Mathematics', 'Power (physics)', 'Physics', 'Quantum mechanics', 'Operating system']
Knowing what to think by knowing who you are: Self‐categorization and the nature of norm formation, conformity and group polarization*;['Conformity', 'Psychology', 'Normative', 'Categorization', 'Group cohesiveness', 'Social psychology', 'Norm (philosophy)', 'Normative social influence', 'Interpersonal communication', 'Salient', 'Referent', 'Social comparison theory', 'Social influence', 'Epistemology', 'Linguistics', 'Philosophy', 'Artificial intelligence', 'Computer science']
Analysis of the inheritance, selection and evolution of growth trajectories.;['Selection (genetic algorithm)', 'Covariance', 'Biology', 'Inheritance (genetic algorithm)', 'Population', 'Function (biology)', 'Natural selection', 'Statistics', 'Mathematics', 'Evolutionary biology', 'Genetics', 'Computer science', 'Artificial intelligence', 'Demography', 'Sociology', 'Gene']
COINTEGRATION AND UNIT ROOTS;['Cointegration', 'Unit root', 'Economics', 'Econometrics', 'Class (philosophy)', 'Variable (mathematics)', 'Point (geometry)', 'Unit root test', 'Mathematical economics', 'Estimation', 'Macroeconomics', 'Mathematics', 'Computer science', 'Mathematical analysis', 'Geometry', 'Management', 'Artificial intelligence']
Adaptive Selling: Conceptualization, Measurement, and Nomological Validity;['Conceptualization', 'Nomological network', 'Psychology', 'Econometrics', 'Computer science', 'Marketing', 'Business', 'Structural equation modeling', 'Economics', 'Artificial intelligence', 'Machine learning']
Scale-space for discrete signals;['Scale space', 'Discretization', 'Discrete space', 'Smoothing', 'Convolution (computer science)', 'Kernel (algebra)', 'Mathematics', 'Scale (ratio)', 'Space (punctuation)', 'Gaussian process', 'Gaussian', 'Algorithm', 'Applied mathematics', 'Mathematical analysis', 'Computer science', 'Discrete mathematics', 'Artificial intelligence', 'Image processing', 'Physics', 'Image (mathematics)', 'Operating system', 'Statistics', 'Quantum mechanics', 'Artificial neural network']
A logic for reasoning about probabilities;['Computer science', 'Artificial intelligence']
The Child Language Data Exchange System: an update;['Sketch', 'Linguistics', 'Psychology', 'Language acquisition', 'Coding (social sciences)', 'Natural language processing', 'Computer science', 'Artificial intelligence', 'Mathematics education', 'Sociology', 'Philosophy', 'Algorithm', 'Social science']
<i>Adaptive Control: Stability, Convergence, and Robustness</i>;['Robustness (evolution)', 'Convergence (economics)', 'Control theory (sociology)', 'Stability (learning theory)', 'Computer science', 'Mathematics', 'Control (management)', 'Artificial intelligence', 'Economics', 'Machine learning', 'Biochemistry', 'Chemistry', 'Gene', 'Economic growth']
Constraints Children Place on Word Meanings;['Object (grammar)', 'Meaning (existential)', 'Word (group theory)', 'Term (time)', 'Linguistics', 'Contrast (vision)', 'Psychology', 'Computer science', 'Cognitive psychology', 'Artificial intelligence', 'Philosophy', 'Physics', 'Quantum mechanics', 'Psychotherapist']
How the Cases You Choose Affect the Answers You Get: Selection Bias in Comparative Politics;['Affect (linguistics)', 'Uncorrelated', 'Selection (genetic algorithm)', 'Politics', 'Variable (mathematics)', 'Selection bias', 'Outcome (game theory)', 'Position (finance)', 'Econometrics', 'Test (biology)', 'Field (mathematics)', 'Psychology', 'Social psychology', 'Statistics', 'Computer science', 'Mathematics', 'Economics', 'Political science', 'Mathematical economics', 'Artificial intelligence', 'Law', 'Biology', 'Mathematical analysis', 'Paleontology', 'Communication', 'Finance', 'Pure mathematics']
What you look at is what you get: eye movement-based interaction techniques;['Computer science', 'Eye movement', 'Human–computer interaction', 'Eye tracking', 'Movement (music)', 'Mode (computer interface)', 'Natural (archaeology)', 'Multimedia', 'Artificial intelligence', 'Aesthetics', 'Philosophy', 'Archaeology', 'History']
Stock market prediction system with modular neural networks;['Modular design', 'Artificial neural network', 'Stock exchange', 'Computer science', 'Stock market prediction', 'Stock (firearms)', 'Profit (economics)', 'Stock market', 'Artificial intelligence', 'Machine learning', 'Econometrics', 'Finance', 'Business', 'Economics', 'Engineering', 'Microeconomics', 'Mechanical engineering', 'Paleontology', 'Horse', 'Biology', 'Operating system']
An invariant of regular isotopy;['Algorithm', 'Artificial intelligence', 'Annotation', 'Computer science', 'Mathematics']
A holonomic systems approach to special functions identities;['Holonomic', 'Mathematics', 'Maple', 'Hypergeometric function', 'Special functions', 'Identity (music)', 'Algebra over a field', 'Generalized hypergeometric function', 'Series (stratigraphy)', 'Pure mathematics', 'Computer science', 'Artificial intelligence', 'Paleontology', 'Botany', 'Physics', 'Acoustics', 'Biology']
Disruption of experience-dependent synaptic modifications in striate cortex by infusion of an NMDA receptor antagonist;['Monocular deprivation', 'Visual cortex', 'NMDA receptor', 'Kitten', 'Neuroscience', 'Striate cortex', 'Stimulation', 'Cortex (anatomy)', 'Cannula', 'Electrophysiology', 'Monocular', 'Chemistry', 'Ocular dominance', 'Biology', 'Internal medicine', 'Receptor', 'Medicine', 'CATS', 'Surgery', 'Artificial intelligence', 'Computer science']
Noun classification from predicate-argument structures;['Noun', 'Predicate (mathematical logic)', 'Natural language processing', 'Computer science', 'Artificial intelligence', 'Verb', 'Variety (cybernetics)', 'Argument (complex analysis)', 'Noun phrase', 'Object (grammar)', 'Scope (computer science)', 'Nominalization', 'Search engine indexing', 'Linguistics', 'Philosophy', 'Programming language', 'Biochemistry', 'Chemistry']
Rasch Models in Latent Classes: An Integration of Two Approaches to Item Analysis;['Rasch model', 'Latent class model', 'Polytomous Rasch model', 'Item response theory', 'Latent variable model', 'Class (philosophy)', 'Local independence', 'A priori and a posteriori', 'Heuristic', 'Latent variable', 'Statistics', 'Econometrics', 'Mathematics', 'Computer science', 'Artificial intelligence', 'Psychometrics', 'Philosophy', 'Epistemology']
Liquid film on an unsteady stretching surface;['Similarity (geometry)', 'Nonlinear system', 'Surface (topology)', 'Ordinary differential equation', 'Similarity solution', 'Navier–Stokes equations', 'Mathematics', 'Mathematical analysis', 'Partial differential equation', 'Mechanics', 'Differential equation', 'Physics', 'Geometry', 'Boundary layer', 'Computer science', 'Compressibility', 'Quantum mechanics', 'Artificial intelligence', 'Image (mathematics)']
Development of Indicators to Assess Hunger;['Conceptualization', 'Psychology', 'Meaning (existential)', 'Qualitative research', 'Social psychology', 'Sociology', 'Social science', 'Computer science', 'Psychotherapist', 'Artificial intelligence']
Boundary detection by constrained optimization;['Pixel', 'Boundary (topology)', 'Probability distribution', 'Estimator', 'Mathematics', 'Nonparametric statistics', 'Computer science', 'Algorithm', 'Artificial intelligence', 'Binary number', 'Pattern recognition (psychology)', 'Statistics', 'Mathematical analysis', 'Arithmetic']
A cache-based natural language model for speech recognition;['Computer science', 'Cache language model', 'Language model', 'Natural language processing', 'String (physics)', 'Artificial intelligence', 'Component (thermodynamics)', 'Cache', 'Hidden Markov model', 'Suffix', 'Speech recognition', 'Natural language', 'n-gram', 'Word (group theory)', 'Terminology', 'Linguistics', 'Universal Networking Language', 'Mathematics', 'Comprehension approach', 'Operating system', 'Physics', 'Philosophy', 'Mathematical physics', 'Thermodynamics']
[On the Application of Probability Theory to Agricultural Experiments. Essay on Principles. Section 9.] Comment: Neyman (1923) and Causal Inference in Experiments and Observational Studies;['Causal inference', 'Observational study', 'Section (typography)', 'Inference', 'Econometrics', 'Computer science', 'Statistics', 'Mathematical economics', 'Mathematics', 'Artificial intelligence', 'Operating system']
Foot and word in prosodic morphology: The Arabic broken plural;['Plural', 'Linguistics', 'Morphology (biology)', 'Arabic', 'Domain (mathematical analysis)', 'Computer science', 'Natural language processing', 'Typology', 'Morpheme', 'Word (group theory)', 'Artificial intelligence', 'Mathematics', 'History', 'Philosophy', 'Geology', 'Mathematical analysis', 'Archaeology', 'Paleontology']
Cyc: toward programs with common sense;['Axiom', 'Heuristic', 'Knowledge base', 'Computer science', 'Representation (politics)', 'Common sense', 'Knowledge representation and reasoning', 'Order (exchange)', 'Commonsense knowledge', 'Knowledge management', 'Epistemology', 'State (computer science)', 'Artificial intelligence', 'Natural language processing', 'Programming language', 'Political science', 'Business', 'Philosophy', 'Mathematics', 'Law', 'Geometry', 'Finance', 'Politics']
Influence of interfaces on microbial activity;['Biochemical engineering', 'Similarity (geometry)', 'Natural (archaeology)', 'Action (physics)', 'Adhesion', 'Biological system', 'Chemistry', 'Chemical physics', 'Computer science', 'Biology', 'Physics', 'Artificial intelligence', 'Engineering', 'Paleontology', 'Organic chemistry', 'Quantum mechanics', 'Image (mathematics)']
